zipcode,id,latitude,longitude,price
98028,5.829030437042419e+17,47.74011,-122.26517,385.0
98034,1.9592833835763434e+17,47.71053333333333,-122.24845,113.66666666666667
98040,1.9725837632542518e+17,47.556958333333334,-122.24903833333333,290.1666666666667
98057,17750444.0,47.48965,-122.22522,225.0
98101,8.319576593436947e+16,47.61093589311618,-122.33567064780446,236.40148698884758
98102,5.724235463322238e+16,47.63069026523962,-122.3216719802221,208.51612903225808
98103,7.954605358340661e+16,47.66981854878377,-122.34340178188626,198.23922413793105
98104,1.1056776486431114e+17,47.602775486979006,-122.32858088280389,168.13333333333333
98105,8.767323347455179e+16,47.66348232563391,-122.30916254922158,159.49
98106,6.652046496287916e+16,47.541881676974505,-122.35811819970995,176.10655737704917
98107,1.198375936778483e+17,47.66791023833507,-122.37480947759867,211.58149779735683
98108,1.38675711974397e+17,47.5491442892411,-122.3079684843142,155.71153846153845
98109,1.4664619422706618e+17,47.62778913803171,-122.34509013731258,210.72093023255815
98112,7.860926428286165e+16,47.62947874447175,-122.30135487762149,233.71945701357467
98115,5.428200247340125e+16,47.6836338271576,-122.30446943595774,169.31838565022423
98116,7.703663213538539e+16,47.57452554388693,-122.39895490231788,216.02285714285713
98117,5.2307383733332136e+16,47.68510263783797,-122.37783468599412,179.67741935483872
98118,7.598362000361666e+16,47.543533608953204,-122.27783692636116,171.0034843205575
98119,6.924101061747743e+16,47.63791435945048,-122.36720650984316,260.29464285714283
98121,1.1124412118217989e+17,47.61483690000982,-122.34586255398143,217.3734939759036
98122,8.991993509993811e+16,47.61052868773194,-122.30938788731586,208.05069124423963
98125,1.0560352473274946e+17,47.71746690495067,-122.30470236706647,160.10434782608695
98126,3.922233486883547e+16,47.55684854897126,-122.37547460981627,169.4494382022472
98133,9.10481752876763e+16,47.7207574887652,-122.34529781756767,139.54782608695652
98134,32382201.777777776,47.58656333333333,-122.32573555555557,339.0
98136,3.963126364564067e+16,47.54161695699635,-122.38820762891913,181.09195402298852
98144,6.66405296374946e+16,47.58586386846666,-122.30316261615832,194.31972789115648
98146,5.1131930804972664e+16,47.50516128531235,-122.35529324082876,136.75862068965517
98155,9.860968596391904e+16,47.73986527842599,-122.30101096940744,130.41860465116278
98168,1.733116526515703e+17,47.50096394567708,-122.31083844688162,155.42592592592592
98170,5.948903234526774e+17,47.62156,-122.33631,259.0
98177,1.1155505495696395e+17,47.71089841620078,-122.36617655802885,183.16129032258064
98178,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122
98195,24429222.25,47.659620000000004,-122.3162775,169.0
98199,6.788530672519115e+16,47.648094150344264,-122.39358084797993,214.37894736842105
