id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5372181,Alki Beach House - Steps from the Sand,5464287,Kelly,West Seattle,Alki,47.58225,-122.40189,Entire home/apt,133,30,18,2022-03-30,0.21,1,207,5,
6908161,Capitol Hill Apt. in Craftsman Home,8642533,Sasha,Capitol Hill,Stevens,47.62534,-122.30969,Entire home/apt,145,30,40,2022-02-20,0.47,3,143,4,
5386937,Historic Capitol Hill Apartment,27919460,Princeton,Capitol Hill,Broadway,47.61761,-122.31374,Entire home/apt,110,2,306,2022-06-05,3.44,1,78,42,STR-OPLI-19-002010
6937492,Cozy Home with Amazing View,36373396,Greg,West Seattle,Fauntleroy,47.51857,-122.38717,Entire home/apt,210,5,84,2022-06-01,1.00,1,60,8,STR-OPLI-19-002858
6973790,Overlook a Tranquil Courtyard from a Chic Urban Suite,4411144,Emma,Downtown,Belltown,47.61365,-122.34717,Entire home/apt,185,2,160,2022-06-12,1.89,2,185,40,STR-OPLI-19-000420
5407311,Serene W/D  walk toUW/U Village 404,3074414,Melissa,University District,University District,47.66317,-122.30438,Entire home/apt,125,3,37,2022-05-29,0.42,107,155,11,STR-OPLI-19-002641
6991188,The Marion Flat on Cherry Hill,2781551,Ron,Central Area,Minor,47.61018,-122.30476,Entire home/apt,184,3,321,2022-06-10,4.07,3,276,44,STR-OPLI-19-001833
5422159,Luxurious Seattle Apartment,26232234,Jen,Downtown,Central Business District,47.60812,-122.33807,Entire home/apt,119,30,270,2019-12-22,3.06,1,120,0,
6993019,Historic Pike Place Market,13877700,Jeff,Downtown,Central Business District,47.60816,-122.3383,Entire home/apt,450,6,29,2022-04-30,0.35,1,322,7,STR-OPLI-19-000836
5424448,Beautiful Tudor Home Water View,5976835,Susannah,Seward Park,Seward Park,47.55945,-122.27197,Entire home/apt,300,30,2,2019-07-02,0.02,1,42,0,
7008269,Top floor of 4*green luxury home (1-2 bdrms/baths),9746094,Beth,Other neighborhoods,Fremont,47.65573,-122.35472,Entire home/apt,96,1,162,2022-06-04,3.32,1,12,35,STR-OPLI-21-001005
7010764,Honey Badger Bunker (Travel Nurses or Medium Term),30049045,Tim And Christy,Other neighborhoods,Fremont,47.65243,-122.35625,Entire home/apt,101,3,60,2021-12-31,0.71,2,40,7,STR-OPLI-19-000587
5470629,Ballard Garden Apartment,28375755,Barbara,Ballard,Adams,47.67229,-122.39031,Entire home/apt,130,3,187,2022-05-10,2.18,1,132,19,STR-OPLI-19-000421
7035498,Hip Flat. Iconic Downtown. Walk to Pike Place Mkt,18947211,John,Downtown,Belltown,47.61535,-122.34131,Entire home/apt,140,2,474,2022-06-13,5.65,2,280,80,STR-OPLI-19-000034
5470943,Explore Capitol Hill from a Roomy Apartment,13669439,Matthew,Capitol Hill,Stevens,47.63044,-122.31008,Entire home/apt,242,2,400,2022-06-02,4.65,2,286,66,STR-OPLI-19-001123
5492490,Beach Access Lake View Getaway!,828164,Emily,Capitol Hill,Madison Park,47.63632,-122.27837,Entire home/apt,111,30,218,2022-01-23,2.47,3,100,3,STR-OPLI-19-003010
7037522,"Large, Cheerful Studio Apartment by Lake Washington",10936741,Barbara & Andy,Seward Park,Seward Park,47.55958,-122.26731,Entire home/apt,125,2,238,2022-05-23,2.82,1,251,43,STR-OPLI-19-002547
5525073,Location & Luxury at a Great Price!,28653007,Andrew,Other neighborhoods,Fremont,47.65019,-122.34551,Entire home/apt,145,30,42,2019-10-09,0.50,4,294,0,
7066118,North Seattle Charmer,19660299,Daniel And Teresa,Other neighborhoods,Bitter Lake,47.72158,-122.34998,Entire home/apt,80,30,149,2019-12-25,1.76,1,123,0,19-001138
5578943,Madrona Studio w/Private Entrance,26630462,Gretchen & Sidney,Central Area,Madrona,47.61606,-122.29205,Private room,81,4,178,2022-05-25,2.05,1,8,12,STR-OPLI-19-001351
7075948,Modern townhome  in great location,37101658,Heberto,Central Area,Mann,47.61927,-122.29656,Entire home/apt,256,3,229,2022-06-14,2.77,2,301,48,STR-OPLI-19-001370
5581705,Private Apartment by University of WA & Greenlake,6587854,Aliza,Other neighborhoods,Roosevelt,47.67312,-122.31603,Entire home/apt,139,2,103,2022-05-28,1.94,1,209,21,STR-OPLI-21-000086
7087957,"Historic Capitol Hill studio, Walk Everywhere!",37151043,Jessica,Capitol Hill,Broadway,47.61412,-122.31528,Entire home/apt,138,1,438,2022-06-13,5.21,3,97,89,STR-OPLI-19-000858
5640722,A Touch of Europe #1 or Ideal for Solo Traveler#2,2696775,Elfriede,Other neighborhoods,Greenwood,47.69743,-122.34766,Private room,42,30,154,2021-01-17,1.75,2,302,0,STR-OPLI-19-001284
7091397,Secret Garden Bungalow,7376011,Barbara,Queen Anne,East Queen Anne,47.6366,-122.35044,Entire home/apt,152,4,126,2022-06-05,1.50,1,240,13,STR-OPLI-20-000198
5652705,Northern Lights Backyard Cottage Near the Junction,33360,Laura,West Seattle,Fairmount Park,47.55484,-122.38512,Entire home/apt,125,1,83,2022-04-11,0.97,8,120,16,STR-OPLI-19-000033
7116795,Spacious 2 BR 1.5 Bath A+ Location | Free Parking,37283489,Debbie,Downtown,Belltown,47.61608,-122.34019,Entire home/apt,150,2,311,2022-06-10,3.71,1,292,57,STR-OPLI-19-000769
5680462,6 Bdrm Home 5 mins 2 DT- Perfect 4 Groups & Family,22372266,Sarah,Queen Anne,West Queen Anne,47.63812,-122.36558,Entire home/apt,876,6,111,2022-05-04,1.30,1,30,4,STR-OPLI-20-001238
7131797,"Skylights, Privacy & Convenience",37349992,John & Bridget,West Seattle,North Admiral,47.57629,-122.3876,Entire home/apt,84,3,164,2021-10-26,1.95,1,0,15,STR-OPLI-19-001211
7153101,💎Walker's Paradise by UW in❤️SEA Clean Cozy Comfy,37461306,Rory,University District,University District,47.65547,-122.32026,Entire home/apt,342,1,274,2022-06-13,3.25,1,98,19,STR-OPLI-19-001905
5682316,Walk to Live Music Venues From a Columbia City Hideaway,4610250,Elyse And Earl,Rainier Valley,Columbia City,47.56125,-122.28947,Entire home/apt,166,2,349,2022-05-30,4.02,1,102,64,STR-OPLI-19-001623
7178239,Whitman Acres: Under the Stairs!,20184201,Sherry,Other neighborhoods,Fremont,47.65691,-122.34451,Private room,61,30,83,2021-11-05,1.01,2,167,1,STR-UNAM-19-001032
5686435,Beautiful family Queen Anne Home,5072241,Jennifer,Queen Anne,North Queen Anne,47.64087,-122.36449,Entire home/apt,595,4,48,2021-11-27,0.56,1,223,9,STR-OPLI-19-001421
7219541,A beautiful house with a lake view,37795322,Mie,Lake City,Cedar Park,47.72355,-122.28141,Private room,73,2,86,2021-12-24,1.03,2,18,16,STR-OPLI-19-002114
5832908,"North Beacon Hill ,1 Bedroom 1 Bath Private patio",25243138,Mat,Beacon Hill,North Beacon Hill,47.58848,-122.30981,Entire home/apt,102,1,232,2022-04-24,3.05,1,217,18,STR-OPLI-19-001127
5882923,Home apartment with all the comfort.,30550537,Terry,Other neighborhoods,Phinney Ridge,47.68275,-122.35492,Entire home/apt,95,2,318,2022-05-10,3.64,1,265,51,STR-OPLI-19-000977
7221204,Private North Beach Ocean View Room,37801519,Jackie,Other neighborhoods,North Beach/Blue Ridge,47.70168,-122.39141,Private room,105,30,89,2019-09-16,1.06,1,64,0,
5883409,Steps to UW Wood Floor Remodeled 12,3074414,Melissa,University District,University District,47.65908,-122.31799,Entire home/apt,115,30,21,2021-08-30,0.24,107,304,1,STR-OPLI-19-002570
5900224,Walk to the best spots in Seattle!,29824474,Rachael,Downtown,Belltown,47.61385,-122.3479,Entire home/apt,201,3,234,2022-05-28,2.70,1,123,20,STR-OPLI-19-000015
5918741,Historic downtown studio near Pike place + parking,17225510,Jk,Downtown,Belltown,47.613319396972656,-122.3458251953125,Entire home/apt,193,2,319,2020-03-11,3.71,1,91,0,STR-OPLI-19-003046
5919096,Ballard Victorian 900 sq ft apt,53050,Robert,Ballard,Adams,47.67189,-122.38569,Entire home/apt,149,5,41,2022-04-30,0.48,1,24,12,STR-OPLI-19-001455
7229015,Private room/bath just for you!,37373833,Minh-Chau,Central Area,Mann,47.60315,-122.30186,Private room,72,30,84,2019-09-07,1.00,1,275,0,STR-OPLI-20-000144
5969069,"Urban oasis, perfect for dog owners",13240442,Adam,Capitol Hill,Stevens,47.62453,-122.30405,Entire home/apt,250,4,43,2022-06-05,0.50,2,268,6,STR-OPLI-19-000293
5980730,Spacious Remodled Attic in U Village/UW,3074414,Melissa,Other neighborhoods,Ravenna,47.6675,-122.29559,Private room,76,30,13,2021-11-16,0.16,107,278,3,
7275464,Private Capitol Hill Studio,38090170,Bobby,Capitol Hill,Stevens,47.62443,-122.30317,Entire home/apt,140,2,160,2022-06-06,1.90,1,90,24,STR-OPLI-19-002948
7239217,Cottage on the Park - West Seattle,37584695,Jonathan,Delridge,North Delridge,47.55401,-122.36393,Entire home/apt,108,30,78,2022-05-31,0.93,1,134,6,
7278583,1904 Queen Anne Style Home,34656171,Sharon,West Seattle,North Admiral,47.59105,-122.38642,Entire home/apt,371,2,77,2022-05-08,0.94,1,268,12,STR-OPLI-19-000610
7285916,Retreat to Lk Washington,38153873,Jennifer,Seward Park,Seward Park,47.56065,-122.26654,Entire home/apt,173,2,277,2022-06-13,3.82,1,258,41,STR-OPLI-21-000069
7305969,"Walkable, private Capitol Hill room",38271728,Emily,Central Area,Minor,47.61389,-122.30781,Private room,90,2,266,2022-06-09,3.16,1,5,42,STR-OPLI-19-002636
7245581,University Tranquility #1 (Walk to UW & U Village),335170207,Irwan,Other neighborhoods,Ravenna,47.667358,-122.298828,Private room,56,3,35,2022-05-18,0.47,3,22,5,STR-OPLI-20-000152
7324041,Stylish studio in West Seattle-No Contact Check-in,4716190,Timothy,Delridge,South Delridge,47.52094,-122.36246,Entire home/apt,89,1,300,2022-06-12,3.56,1,13,36,STR-OPLI-21-000311
7245701,Weekend adventure  38' Sailboat,29449549,Bill,Ballard,Sunset Hill,47.67986,-122.40572,Private room,285,30,5,2016-07-26,0.06,1,365,0,
7331079,Seattle Green Lake Getaway,38407350,Lisa,Other neighborhoods,Green Lake,47.67315,-122.32737,Entire home/apt,325,30,3,2018-07-26,0.04,1,173,0,
7247518,Modern Home in Beacon Hill,36633617,Angie,Beacon Hill,Mid-Beacon Hill,47.55457,-122.30529,Entire home/apt,111,30,8,2016-08-07,0.10,1,165,0,
7342445,2 Bedroom Seattle Duplex for Families and Pets,13621927,Tracy,Rainier Valley,Brighton,47.54364,-122.27232,Entire home/apt,176,2,148,2022-03-27,1.76,2,90,18,STR-OPLI-19-000290
7257457,"180 degree, unobstructed bluff view!",26017435,Roger,West Seattle,North Admiral,47.59114,-122.38506,Entire home/apt,295,2,149,2022-06-05,1.95,1,152,21,STR-OPLI-19-000217
7344117,"My huge, 5-level, super-fun artist's loft",38474213,Jessie,Central Area,Minor,47.60222,-122.30821,Entire home/apt,181,1,358,2022-05-22,4.26,1,81,52,STR-OPLI-19-000584
7262142,Cozy charming 1 bedroom apartment,32134569,Kathleen,Rainier Valley,Columbia City,47.55633,-122.27273,Entire home/apt,67,3,325,2022-06-07,3.93,1,229,16,STR-OPLI-20-000364
7349029,Alki Beach Studio with hot tub,38502645,Ron,West Seattle,Alki,47.57374,-122.40873,Entire home/apt,109,2,377,2022-06-13,4.48,1,30,54,STR-OPLI-20-001027
7264708,Seattle sanctuary with city view!,38034415,Kristen,Magnolia,Southeast Magnolia,47.63778,-122.38943,Entire home/apt,99,30,178,2020-01-04,2.36,1,194,0,
7350456,"Urban Wildlife studio apt., Ravenna close to U.W.",38514732,Lars,Other neighborhoods,Ravenna,47.681702,-122.305031,Entire home/apt,64,30,254,2022-01-30,3.56,2,172,2,838099
7353834,Center UW Good WiFi Comfy 217,3074414,Melissa,University District,University District,47.66222,-122.31501,Entire home/apt,110,30,15,2022-04-30,0.18,107,115,3,STR-OPLI-19-002641
8373832,Alki Beach House w/Sweeping Ocean & Mountain Views,5570855,Marian,West Seattle,Alki,47.5852,-122.39899,Entire home/apt,514,7,49,2022-04-24,0.64,2,30,10,STR-OPLI-19-001306
8385444,The Haven in Maple Leaf A,44186779,Maggie,Northgate,Maple Leaf,47.69245,-122.30942,Entire home/apt,70,30,384,2021-12-18,4.72,2,71,2,STR-OPLI-19-003089
7397715,Modern Two Story Townhome near Light Rail,38697694,Nick,Rainier Valley,Columbia City,47.55604,-122.28857,Entire home/apt,127,1,17,2022-06-04,2.97,2,107,17,STR-OPLI-21-001214
8409750,"2BR VIEW! 98% Walk Score, FREE pkg, pool, hot tub!",32522941,Gayle,Downtown,Belltown,47.615067,-122.347496,Entire home/apt,384,2,237,2022-06-03,2.93,1,173,30,STR-OPLI-19-000877
8410028,Downtown Modern 1BD/1BA. Walk Everywhere!,3464503,Cathy,Downtown,First Hill,47.61171,-122.32931,Entire home/apt,179,3,196,2022-06-07,2.54,1,16,42,STR-OPLI-19-002078
7418814,Ravenna/Roosevelt Roost: Walk to Greenlake and UW,7274409,Kelly,Other neighborhoods,Ravenna,47.6758,-122.30892,Entire home/apt,111,2,221,2022-06-13,2.63,1,37,52,STR-OPLI-20-000197
8418650,Private duplex unit in Wallingford,44340751,Susan,Other neighborhoods,Wallingford,47.65076,-122.33712,Entire home/apt,114,3,279,2022-06-10,3.44,1,205,58,STR-OPLI-19-003038
8425013,Madrona Family Home,386924759,Bob,Central Area,Madrona,47.61539,-122.2889,Entire home/apt,391,30,190,2022-06-12,2.32,2,285,39,str-opli-20-000182
7434103,"Climate Controlled, Comfy Suite w/Private Entrance",13869873,Heather,Lake City,Cedar Park,47.72388,-122.28792,Private room,98,2,171,2022-06-12,2.04,1,177,48,STR-OPLI-20-000724
7455832,Bright & sunny 3 bedroom remodeled craftsman,2144954,Ryan,Other neighborhoods,Georgetown,47.544739,-122.319786,Entire home/apt,239,2,1,2022-06-09,1,2,145,1,STR-OPLI-22-000359
7462250,"Walk to Restaurants, Rest on Deck, at Sunny Backyard Cottage",16063650,Sarah & Mark,West Seattle,Fairmount Park,47.55413,-122.38433,Entire home/apt,162,1,677,2022-06-10,8.96,2,253,118,STR-OPLI-19-001753
8426827,Amazing Ballard - 85 Walk Score!,1212520,Jeremy And Rachael,Ballard,Whittier Heights,47.68304,-122.37639,Entire home/apt,175,7,182,2022-05-22,2.22,4,322,13,STR-OPLI-19-003466
7483750,Ravenna urban wilderness suite nr. UofW (west end),38514732,Lars,Other neighborhoods,Ravenna,47.68074,-122.30515,Private room,59,30,549,2021-01-09,6.54,2,163,0,838099
8441477,Phinney Ridge Bungalow,42640004,Nicholas And Rebecca,Other neighborhoods,Phinney Ridge,47.67751,-122.35616,Entire home/apt,499,30,69,2017-08-15,0.84,1,363,0,
7492877,Charming Home close to Fremont,39243231,Meg And Seamus,Queen Anne,North Queen Anne,47.64507,-122.35141,Entire home/apt,265,2,40,2022-01-01,0.48,1,6,3,STR-OPLI-19-003397
8515408,Top of Queen Anne Hill studio.,3502513,Jennifer,Queen Anne,West Queen Anne,47.63773,-122.36207,Entire home/apt,130,30,86,2022-01-12,1.06,2,274,4,
7500191,Capitol Hill Charming Studio!,12951431,Michael,Capitol Hill,Broadway,47.62342,-122.31729,Entire home/apt,178,2,185,2022-06-09,2.21,1,231,19,STR-OPLI-19-003238
8524349,Ballard studio - 85 Walk Score!,1212520,Jeremy And Rachael,Ballard,Whittier Heights,47.68304,-122.37643,Entire home/apt,110,7,196,2022-05-21,2.40,4,312,13,STR-OPLI-19-003466
8597297,Welcome to Ravennity!  +Very close to light rail +,9602191,Wynia,Other neighborhoods,Roosevelt,47.67263,-122.31721,Entire home/apt,176,1,61,2022-06-12,6.54,1,245,61,STR-OPLI-21-000835
7500976,"Clean and Cozy, Centrally Located Urban Oasis",26736911,Elizabeth,Central Area,Minor,47.60795,-122.30837,Entire home/apt,145,3,96,2021-12-26,1.20,1,14,5,STR-OPLI-19-000680
7529124,Bamboo Loft Studio in Mapleleaf,39456755,Jenifer,Northgate,Maple Leaf,47.69685,-122.31442,Entire home/apt,89,30,140,2019-08-23,1.71,1,124,0,
8612922,Spacious Laurelhurst Hideaway,41402752,Kendall,Other neighborhoods,Laurelhurst,47.65702,-122.28482,Entire home/apt,100,1,501,2022-06-13,6.14,1,160,101,STR-OPLI-19-002089
8630702,Private 2 BR Ballard Flat,38370991,Joel And Sarah,Ballard,Loyal Heights,47.68402,-122.37886,Entire home/apt,113,2,319,2022-05-30,4.50,1,89,55,STR-OPLI-19-000451
7533537,Charming Modern Guesthouse with Garden Patio,93917349,Stephen,West Seattle,Gatewood,47.53059,-122.38595,Entire home/apt,170,2,314,2022-06-10,3.86,1,40,44,STR-OPLI-19-002861
7562331,Modern Retreat Near Lake Washington,1183674,Lisa,Rainier Valley,Mount Baker,47.57268,-122.28544,Entire home/apt,85,5,62,2022-05-04,0.83,2,108,5,STR-OPLI-19-000668
7581631,Modern + Cozy Eastlake/Lake Union 2BR Apartment,316200,William,Cascade,Eastlake,47.63997,-122.32399,Entire home/apt,107,30,127,2022-05-27,1.54,7,267,7,
8637174,Charming Belltown Corner Studio,13200167,Kumail,Downtown,Belltown,47.61483,-122.34035,Entire home/apt,148,2,586,2022-06-10,7.18,4,271,102,STR-OPLI-19-000975
7602926,Delightful Central District Living,39871730,Sarah,Central Area,Mann,47.6065,-122.29882,Entire home/apt,100,30,124,2022-05-22,1.63,1,176,3,
7604654,Serene View New in Convenient Wallingford  302,3074414,Melissa,Other neighborhoods,Fremont,47.65688,-122.34517,Entire home/apt,150,30,20,2022-04-17,0.28,107,118,6,STR-OPLI-20-000157
7619727,Charming 3 bedroom home in Seattle,18017462,Sara,Other neighborhoods,Wedgwood,47.6832,-122.30018,Entire home/apt,200,3,28,2021-08-13,0.34,1,1,4,STR-OPLI-19-000875
8701578,Stylish Apt close to Convention Ctr,45680524,Hsiu,Downtown,First Hill,47.61319,-122.32727,Entire home/apt,68,120,21,2021-08-31,0.26,2,304,1,
7636185,Escape to a Vintage Cottage near Jefferson Park,2777369,Angela,Beacon Hill,North Beacon Hill,47.57386,-122.31055,Entire home/apt,162,2,395,2022-06-11,4.79,1,104,48,STR-OPLI-19-002159
7638263,Centrally Located Townhouse on Private Floor with a View,39401590,Brian,Cascade,Eastlake,47.63631,-122.32526,Private room,117,2,240,2022-06-12,2.98,1,291,37,Str-opli-19-003205
8734809,"Bright, Cozy and Spacious 1 Bedroom",10553813,Erin,Rainier Valley,Mount Baker,47.56572,-122.28619,Entire home/apt,80,30,109,2022-03-24,1.37,1,81,1,
8780358,West Seattle; Admiral - by Alki beach,3265476,Regina & Bo,West Seattle,North Admiral,47.58428,-122.39405,Entire home/apt,219,1,391,2022-05-28,4.85,2,342,64,STR-OPLI-19-001195
7638282,Tall Trees Backyard Retreat,13424313,Magnhild,Northgate,Maple Leaf,47.69593,-122.31355,Entire home/apt,120,30,170,2022-05-30,2.03,1,201,5,STR-OPLI-19-002402
7646637,~ Private & Relaxing Home in Fremont ~Entire House,40122496,David,Other neighborhoods,Fremont,47.66131,-122.36081,Entire home/apt,389,30,42,2022-01-15,0.50,2,99,3,
8866927,Ballard Backyard Bungalow,18687921,Tim,Ballard,Loyal Heights,47.67825,-122.38652,Entire home/apt,88,30,389,2022-06-06,4.88,1,14,33,STR-OPLI-19-002492
8869680,Great Location HEART of UW Studio Near Everything,8026420,Sheldon,University District,University District,47.65885,-122.31467,Entire home/apt,89,30,220,2019-12-23,2.71,2,306,0,
8870139,The Carriage House,46428878,Curtis,Northgate,North College Park,47.69276,-122.3325,Entire home/apt,75,5,32,2021-09-18,0.40,2,269,2,STR-OPLI-19-002574
7660932,1 month Madrona cottage. Begin Sept 5th. $1250 mo.,13960065,Alan,Central Area,Madrona,47.61335,-122.29152,Entire home/apt,1250,30,62,2021-09-02,0.74,2,364,1,STR-VERF-19-000438
8902327,Portage Bay View!-One Bedroom Apt,46566046,Glen,Capitol Hill,Portage Bay,47.65025,-122.32037,Entire home/apt,125,30,379,2022-04-04,4.79,1,23,24,STR-OPLI-20-000723
7665415,The Hideout at Alaska Junction,3286649,Michael,West Seattle,Genesee,47.55943,-122.3874,Entire home/apt,192,1,109,2022-06-12,1.33,2,67,17,STR-OPLI-21-001173
7676574,Spectacular Magnolia View Home,5011779,Karin,Magnolia,Briarcliff,47.64119,-122.40352,Entire home/apt,250,30,15,2021-06-13,0.18,1,286,0,
7678064,4 bd/3.5 ba  Seattle Center Twnhse,36057637,Martha,Queen Anne,Lower Queen Anne,47.62631,-122.34411,Entire home/apt,300,30,105,2021-12-20,1.30,1,113,3,STR-OPLI-19-000344
8924767,Sweet Room in Mindfulness Studio w/ Hot Tub Option,44101586,Regina,Other neighborhoods,Wallingford,47.65504,-122.33277,Private room,32,3,281,2022-06-01,3.85,5,2,69,STR-OPLI-19-003295
8941541,"Pike/Pine 2-BR, steps from everything Capitol Hill",986445,Tri,Capitol Hill,Broadway,47.61581,-122.31582,Entire home/apt,216,3,464,2022-06-13,6.21,2,31,69,STR-OPLI-19-001958
8941768,Queen Anne Living,3022709,Laura,Queen Anne,East Queen Anne,47.63209,-122.34643,Entire home/apt,250,30,10,2019-08-17,0.12,2,40,0,
7692281,"Beautiful modern, cute and cozy Apt",40398665,Mariluz,Magnolia,Lawton Park,47.65197,-122.38378,Entire home/apt,89,30,9,2021-07-11,0.15,2,0,1,
9013441,"Sweet li'l apt; walkable neighborhood, light rail",47064683,Brook And Cat,Beacon Hill,North Beacon Hill,47.58234,-122.31131,Entire home/apt,119,28,125,2021-12-16,1.58,1,107,2,STR-OPLI-19-001394
7697340,"3 Bedroom Designer Home w/ Views, Priv Rooftop, AC",9060841,Ruby,Cascade,Eastlake,47.6393,-122.32341,Entire home/apt,851,2,152,2022-06-05,1.83,3,172,27,STR-OPLI-19-001970
7718139,Abba's Urban Seattle Tent #Glamping,301107,Perry,Beacon Hill,North Beacon Hill,47.57892,-122.3054,Entire home/apt,65,30,19,2018-08-26,0.23,2,365,0,
7745196,Modern Seattle Apt. | Quiet & Close To Everything!,398005,Trevor,Other neighborhoods,Fremont,47.65593,-122.3427,Entire home/apt,141,3,212,2022-05-19,2.57,1,176,21,STR-OPLI-19-001335
9067268,University Tranquility #3 (Walk to UW & U Village),724729,Tania,Other neighborhoods,Ravenna,47.667358,-122.298828,Private room,56,30,34,2022-05-15,0.44,1,23,4,STR-OPLI-20-000152
9068419,Tranquil Secluded Studio Steps from Woodland Park,32377507,Hugo,Other neighborhoods,Fremont,47.6642,-122.34996,Entire home/apt,111,2,445,2022-05-31,5.53,3,112,71,STR-OPLI-19-000921
7748778,Thor's Scamper Urban City Camper,301107,Perry,Beacon Hill,North Beacon Hill,47.57705,-122.30483,Entire home/apt,135,30,15,2018-10-07,0.21,2,365,0,
7789438,Sunny & Decorative Capitol Hill Apt,2594393,Shay,Downtown,First Hill,47.61314,-122.32366,Entire home/apt,155,2,177,2022-06-06,2.15,1,312,16,STR-OPLI-19-003425
9110560,Private Room #2 by Childrens Hospital,26475960,David,Other neighborhoods,Bryant,47.66916,-122.28456,Private room,45,2,191,2022-05-27,2.41,3,115,33,STR-OPLI-19-003464
7800238,Private Garden Cottage,41056418,Andy And Betty,Beacon Hill,Mid-Beacon Hill,47.55531,-122.30963,Entire home/apt,85,2,381,2022-06-14,4.70,1,249,65,STR-OPLI-20-000733
9138923,Sunny Garden Apartment,21149225,Anne,Ballard,Sunset Hill,47.68145,-122.39518,Entire home/apt,70,7,132,2022-05-29,1.64,1,11,5,STR-OPLI-19-002879
9154294,Walk to Lake Union or University of Washington,34665595,Lisa,Other neighborhoods,Wallingford,47.65396,-122.32831,Entire home/apt,164,2,236,2022-06-13,2.94,1,104,19,STR-OPLI-19-001701
9154462,Charming Bungalow Home,32932119,Tori,Other neighborhoods,Bitter Lake,47.70598,-122.35336,Entire home/apt,221,30,10,2022-02-26,0.12,2,0,3,STR-OPLI-19-003116
9157232,University Tranquility #2 (Walk to UW & U Village),335170207,Irwan,Other neighborhoods,Ravenna,47.667358,-122.298828,Private room,58,3,35,2022-05-28,0.44,3,23,2,STR-OPLI-20-000152
9167786,Beautiful Bedroom in Queen Anne,956883,Maija,Queen Anne,West Queen Anne,47.64101,-122.37564,Private room,59,30,112,2019-11-24,1.40,3,262,0,
7810447,New Carpet UW Fast internet (30),3074414,Melissa,University District,University District,47.65696,-122.31664,Entire home/apt,110,30,24,2021-07-03,0.29,107,312,1,STR-OPLI-20-000157
9174327,Upper Level of Fremont 3 Story Restored 1907 Home,30988044,Judy,Other neighborhoods,Fremont,47.65718,-122.36031,Entire home/apt,98,2,244,2022-06-05,3.06,1,30,46,STR-OPLI-19-001317
7823973,Garden view quiet one bedroom,41193990,Julia,Capitol Hill,Stevens,47.62258,-122.30197,Entire home/apt,80,30,43,2022-05-07,0.53,1,264,3,
7843995,Seattle City View on Capitol Hill,10558142,James,Capitol Hill,Broadway,47.61837,-122.32519,Entire home/apt,202,1,418,2022-06-13,5.03,1,310,45,STR-OPLI-21-001208
9217030,Charming Secluded Guest Suite near Woodland Park,47929873,Brent,Other neighborhoods,Fremont,47.65411,-122.35252,Entire home/apt,145,2,435,2022-05-17,5.46,1,115,65,STR-OPLI-19-002143
7871885,Capitol Hill Carriage House,41487915,Eric,Capitol Hill,Stevens,47.62878,-122.30362,Entire home/apt,125,3,176,2022-05-22,2.12,1,104,37,STR-OPLI-19-000699
9233533,Art & Book Lovers Spacious Garden Apartment,469819,Tina,Lake City,Olympic Hills,47.72171,-122.30767,Entire home/apt,150,30,59,2022-01-07,0.74,1,276,3,
7873789,"REAL BEDS, piano, comfort await you!",1645336,Lisa,Ballard,Whittier Heights,47.68241,-122.37093,Entire home/apt,111,2,531,2022-06-09,6.44,1,39,68,STR-OPLI-19-002232
9234966,"Private, Stand-Alone Greenlake Gardenscape",48002378,Moira,Other neighborhoods,Green Lake,47.68793,-122.33807,Entire home/apt,120,2,177,2022-05-16,2.49,1,259,62,STR-OPLI-19-002128
7886645,Luxurious Seattle Suite w/ Relaxing Soaking Tub!,10809703,Kelsey,Other neighborhoods,Green Lake,47.67448,-122.32275,Entire home/apt,139,2,502,2022-06-07,7.17,1,116,90,STR-OPLI-19-001484
9262389,The Henry Hideaway,11853720,Kristin,Other neighborhoods,Fremont,47.65981,-122.35983,Entire home/apt,100,2,200,2022-05-27,2.50,1,67,40,STR-OPLI-19-001838
9303743,airb&tv,48299575,Kenny,Central Area,Mann,47.60266,-122.298,Entire home/apt,321,2,15,2022-06-13,0.20,1,350,2,STR-OPLI-20-000139
7886656,**Beautiful apartment with views of the city!!!**,4181260,Joe,West Seattle,Fairmount Park,47.55762,-122.38364,Entire home/apt,143,2,387,2022-06-13,4.67,1,301,71,STR-OPLI-19-002032
7902005,Magnolia Village Dog Friendly 1 bdrm MIL Apartment,39703249,Chris,Magnolia,Southeast Magnolia,47.64454,-122.39764,Entire home/apt,199,3,93,2022-05-26,1.20,1,292,14,STR-OPLI-19-002986
9364302,Seward Park 3 bd Home - Lake View & Chef's Kitchen,10397663,Dea,Seward Park,Seward Park,47.56094,-122.27066,Entire home/apt,400,4,11,2022-06-11,0.23,1,188,6,STR-OPLI-21-000892
7921065,UNIQUE SEATTLE EXPERIENCE,7905102,Michael And Kelley,Interbay,Interbay,47.66073,-122.38779,Entire home/apt,238,30,190,2020-02-22,2.29,1,117,0,STR-OPLI-19-015385
9367465,Crow's Nest Cottage,48604323,Matt And Amy,Ballard,West Woodland,47.66314,-122.36185,Entire home/apt,120,2,232,2022-06-12,2.91,1,22,17,STR-OPLI-19-001175
