id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
219532,"Fun home in Funky Fremont, Seattle",1037115,Rose And Glen,Other neighborhoods,Fremont,47.65589,-122.36055,Entire home/apt,325,30,90,2021-08-07,0.73,1,269,1,STR-OPLI-21-000155
757840,Hilltop House - 4 Bdrm Queen Anne Primo Location!,3991908,Becky,Queen Anne,East Queen Anne,47.63349,-122.35611,Entire home/apt,529,4,427,2022-05-27,3.66,1,256,46,STR-OPLI-19-000945
226536,Serene Room in Sunny Cottage near Discovery Park,209571,Cheryl,Magnolia,Lawton Park,47.66133,-122.40088,Private room,77,1,273,2022-06-14,2.12,2,314,55,STR-OPLI-19-000684
789229,Designer Loft in Pioneer Square,1872473,Trong And Annie,Downtown,Pioneer Square,47.59393,-122.33262,Entire home/apt,155,30,123,2019-11-23,1.10,1,278,0,
226677,Sunny Parisian room w/ best cooling memoryfoam bed,30559,Angielena,Beacon Hill,Mid-Beacon Hill,47.55062,-122.31827,Private room,57,2,210,2022-06-02,1.63,8,320,43,STR-OPLI-19-003039
241016,Scandinavian Queen Anne Home,956883,Maija,Queen Anne,North Queen Anne,47.6411,-122.37446,Entire home/apt,375,2,117,2022-05-30,1.13,3,279,14,STR-OPLI-21-000431
241032,Stylish Queen Anne Apartment,956883,Maija,Queen Anne,West Queen Anne,47.63626,-122.37083,Entire home/apt,139,2,307,2022-05-26,2.37,3,230,8,STR-OPLI-21-000431
254340,Phinney Oasis-Ballard/Phinney,1336214,Kim,Other neighborhoods,Phinney Ridge,47.67632,-122.36019,Entire home/apt,85,30,161,2019-10-31,1.26,1,40,0,
793629,Cheery Seattle House with View,4181120,Candace,Beacon Hill,North Beacon Hill,47.57734,-122.31492,Entire home/apt,121,30,312,2022-03-31,2.70,1,14,10,STR-OPLI-19-003115
260613,Charming Hideaway in North Ballard,1387754,Dot & Lucy,Ballard,Whittier Heights,47.687,-122.36697,Entire home/apt,150,1,98,2021-11-01,0.78,1,287,14,STR-OPLI-19-003396
841274,Goat Hill House Apartment,4133943,Jill,Rainier Valley,Mount Baker,47.58548,-122.29458,Entire home/apt,100,3,160,2022-06-12,1.43,1,243,28,STR-OPLI-19-002082
278830,Shining Starlight house in Seattle,1452570,Emily,Queen Anne,West Queen Anne,47.6341,-122.37296,Entire home/apt,496,2,81,2022-05-02,0.67,4,173,6,STR-OPLI-19-002230
844939,"Five Star Downtown Designer Urban Suite, Space Needle View",4411144,Emma,Downtown,Belltown,47.61503,-122.3475,Entire home/apt,189,2,147,2022-06-06,1.30,2,287,5,STR-OPLI-19-000420
284087,The Nest in the Heart of the City,721070,Suzanne,Downtown,First Hill,47.6121,-122.33,Entire home/apt,169,3,276,2022-05-30,2.20,1,250,43,STR-OPLI-19-002053
303277,Hip Condo Private Deck East Lake Union - Long Term,1204187,Kara,Cascade,Eastlake,47.64424,-122.32397,Entire home/apt,150,30,12,2021-02-12,0.09,1,257,0,
846763,Right at Home in Ravenna,4421734,Tara,Other neighborhoods,Ravenna,47.67995,-122.30859,Private room,50,30,73,2021-09-19,0.63,1,226,2,
338091,"spacious, great location w view",1717589,Judy,Capitol Hill,Broadway,47.61965,-122.32374,Entire home/apt,350,30,120,2019-10-22,0.97,2,365,0,STR-OPLI-21-000724
877203,In Jimi Hendrix's neighborhood 2,287172,Laura,Central Area,Atlantic,47.60029,-122.30185,Private room,53,30,99,2021-08-02,0.88,2,243,5,STR-OPLI-19-002301
879181,In Jimi Hendrix's neighborhood 3,287172,Laura,Central Area,Atlantic,47.60096,-122.3019,Private room,53,30,96,2022-04-03,0.84,2,215,6,STR-OPLI-19-002301
340738,Victorian home on Capitol Hill,1729224,Marlow,Capitol Hill,Stevens,47.62376,-122.30494,Entire home/apt,195,30,0,,,4,218,0,
902609,Entire guest suite in SW of Seattle,3264544,Fabio,Delridge,Highland Park,47.52383,-122.35287,Entire home/apt,80,2,219,2022-06-07,1.95,3,317,24,STR-OPLI-19-002360
904057,Seattle Mini Home with Hot Tub and Private Deck,4678869,Errin,Ballard,West Woodland,47.66617,-122.36693,Entire home/apt,139,3,468,2022-06-09,4.12,1,259,47,STR-OPLI-19-000380
353110,Charming West Seattle Backyard Vacation Cottage,1788284,Eric,West Seattle,North Admiral,47.58037,-122.39163,Entire home/apt,125,30,83,2022-05-31,0.67,1,207,8,
942490,Charming Greenwood neighborhood flat,4705328,Lisa,Other neighborhoods,Greenwood,47.68726,-122.36279,Private room,104,2,129,2022-05-15,1.15,1,299,7,STR-OPLI-20-000322
356248,Seattle 2 BR w Lovely Water Views | BlueStarBnB,306615,Tara,Capitol Hill,Portage Bay,47.65047,-122.32022,Entire home/apt,224,30,26,2021-08-31,0.37,3,129,1,
356608,St. John's Apt. 309 *Walkscore 99*,1787819,Saint,Downtown,First Hill,47.61401,-122.32235,Entire home/apt,224,3,165,2022-05-30,1.35,3,111,22,STR-OPLI-19-001273
365550,art loft downtown~ID~Stadiums,1025723,Dirk & Jaq,Downtown,International District,47.60002,-122.32742,Private room,120,3,776,2022-05-29,6.23,1,92,33,STR-OPLI-19-000427
948077,THE COTTAGE a Capitol Hill oasis - Free parking,365687,Erik,Capitol Hill,Broadway,47.62845,-122.32513,Entire home/apt,225,2,429,2022-05-30,3.82,1,282,66,STR-OPLI-21-000042
368403,Large Luxury Lakeside Seattle Home,4186078,Trung,Other neighborhoods,Green Lake,47.68528,-122.33125,Entire home/apt,645,4,44,2022-05-30,0.42,1,299,3,STR-OPLI-19-001130
1000883,Westside Hideaway,5486919,Nicole,West Seattle,North Admiral,47.58246,-122.39668,Entire home/apt,135,3,206,2022-05-15,1.89,1,17,23,STR-OPLI-19-003112
1012003,Capitol Hill Gem in Great Location,5567436,Larry & Suzi,Capitol Hill,Broadway,47.63948,-122.32236,Private room,145,30,36,2019-10-20,0.32,1,165,0,STR-OPLI-19-000062
370361,Private Guest Studio- Phinney Ridge,1865986,Sheldon,Other neighborhoods,Phinney Ridge,47.68271,-122.35768,Private room,118,3,269,2022-06-12,2.17,2,42,40,STR-OPLI-19-001288
387078,Modern Capitol Hill. LOCATION Great Monthly Rates,1121532,Melissa,Capitol Hill,Broadway,47.62361,-122.32577,Entire home/apt,128,30,182,2022-03-13,1.58,10,298,11,STR-OPLI-19-001903
1022135,"Contemporary, Cozy, and Warm Home",5387574,Sara,Northgate,Haller Lake,47.70662,-122.34358,Private room,82,30,9,2018-11-20,0.08,1,89,0,
1023693,"Get Cozy at a Hip, Vintage-Style Retreat",5635244,Shannon,Ballard,Whittier Heights,47.67936,-122.3704,Entire home/apt,167,4,322,2022-06-08,2.98,2,280,42,STR-OPLI-19-001088
392140,Fantastic View-Close to Light Rail-Solar Powered!,3313235,Leslie,Beacon Hill,North Beacon Hill,47.58576,-122.31581,Private room,80,3,296,2022-06-06,2.40,2,311,30,STR-OPLI-19-001128
1042022,Perfect Location by Lake Washington,5736221,Lene & Johnny,Capitol Hill,Madison Park,47.63326,-122.28009,Entire home/apt,135,2,315,2022-05-26,2.84,1,283,31,STR-OPLI-19-002937
392779,2/1 Plush Modern Hilltop Retreat,437055,Jyoti And Tushar,Beacon Hill,North Beacon Hill,47.57389,-122.31428,Entire home/apt,162,3,169,2022-05-30,1.38,1,138,18,STR-OPLI-21-000037
421168,Greenwood Studio,2094547,Samantha & Peter,Other neighborhoods,Greenwood,47.70021,-122.35106,Private room,90,2,403,2022-06-04,3.33,1,124,68,STR-OPLI-21-000424
1048798,"West Seattle Home, Dazzling View, Quiet & Tranquil",5774906,Carter,West Seattle,Fauntleroy,47.52586,-122.38272,Entire home/apt,253,2,394,2022-06-13,3.54,1,196,56,STR-OPLI-19-000502
1090449,Comfy 1 Bdrm Capitol Hill Apartment,2739131,Chad & Ruben,Capitol Hill,Broadway,47.61769,-122.32645,Entire home/apt,102,2,418,2022-05-31,3.77,1,52,48,STR-OPLI-19-001302
430610,❤️󱀁 modern ✔roof deck ✔garage✔90Walkscore [Rare],165390,SeattleStays - Seth Gordon,Other neighborhoods,Wallingford,47.65356,-122.33952,Entire home/apt,502,5,121,2022-06-10,1.01,4,172,14,STR-OPLI-19-001606
1097520,Relaxed sophistication in Mt. Baker,6031552,Jeanie,Rainier Valley,Mount Baker,47.56692,-122.28106,Entire home/apt,121,3,288,2022-05-30,2.61,1,296,38,STR-OPLI-19-003217
1100686,Tree top room in artsy Fremont - high ceilings,3921530,Ann Petrich,Other neighborhoods,Fremont,47.65417,-122.35402,Private room,63,4,344,2022-05-18,3.51,3,49,8,STR-OPLI-19-001657
1112092,Seattle Backyard Cottage-Queen Anne,5856339,Anne And Peter,Queen Anne,West Queen Anne,47.63555,-122.365,Entire home/apt,135,7,52,2021-11-16,0.47,1,285,6,STR-OPLI-19-002257
