,id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,zipcode
3044,48279255,Downtown,Belltown,47.61718,-122.331375,Entire home/apt,146,98101
3045,48279297,Downtown,Belltown,47.61718,-122.33138,Entire home/apt,158,98101
3046,48286305,Magnolia,Lawton Park,47.64941,-122.39569,Entire home/apt,217,98199
3047,48774007,Ballard,West Woodland,47.67219,-122.3715,Entire home/apt,175,98107
3048,48801916,Capitol Hill,Broadway,47.619457,-122.319107,Entire home/apt,132,98102
3049,48801924,Capitol Hill,Broadway,47.619457,-122.319107,Entire home/apt,125,98102
3050,48291655,Downtown,Yesler Terrace,47.60671,-122.32035,Entire home/apt,161,98122
3051,48802558,Central Area,Leschi,47.6061,-122.29228,Private room,34,98122
3052,48315310,Queen Anne,West Queen Anne,47.63901,-122.36426,Entire home/apt,301,98119
3053,48315408,Downtown,First Hill,47.612148,-122.329712,Entire home/apt,322,98101
3054,48316006,Beacon Hill,North Beacon Hill,47.57823,-122.31344,Entire home/apt,1000,98144
3055,48804710,Downtown,Belltown,47.61499,-122.34757,Entire home/apt,255,98121
3056,48806775,Downtown,Belltown,47.61573,-122.3492,Entire home/apt,335,98121
3057,48812084,Queen Anne,East Queen Anne,47.64042,-122.34318,Entire home/apt,250,98109
3058,48336213,West Seattle,Fairmount Park,47.56523,-122.37339,Entire home/apt,300,98126
3059,48342716,Downtown,Belltown,47.61718,-122.331375,Entire home/apt,265,98101
3060,48813224,Capitol Hill,Montlake,47.63836,-122.31722,Private room,108,98102
3061,48344827,Downtown,Belltown,47.61718,-122.331375,Entire home/apt,269,98101
3062,48821508,Capitol Hill,Broadway,47.619457,-122.319107,Entire home/apt,138,98102
3063,48354117,University District,University District,47.6572,-122.31627,Entire home/apt,108,98105
3064,48377965,University District,University District,47.66644,-122.3051,Entire home/apt,281,98105
3065,48826380,Downtown,Belltown,47.61534,-122.34654,Entire home/apt,299,98121
3066,48842246,Capitol Hill,Broadway,47.619457,-122.319107,Entire home/apt,150,98102
3067,48842347,Capitol Hill,Broadway,47.619457,-122.319107,Entire home/apt,119,98102
3068,48853448,Downtown,Pike-Market,47.61053,-122.34407,Entire home/apt,411,98121
3069,48382242,Downtown,Pike-Market,47.60915,-122.34128,Entire home/apt,156,98101
3070,48883445,Beacon Hill,Mid-Beacon Hill,47.55583,-122.30744,Entire home/apt,76,98108
3071,48384774,Downtown,Yesler Terrace,47.60557,-122.32019,Entire home/apt,70,98122
3072,48394045,Queen Anne,North Queen Anne,47.64,-122.36096,Entire home/apt,201,98119
3073,48412542,Downtown,Belltown,47.61442,-122.34172,Entire home/apt,141,98121
3074,48884001,Other neighborhoods,South Park,47.53081,-122.3187,Private room,107,98108
3075,48422048,University District,University District,47.65807,-122.31711,Entire home/apt,110,98105
3076,48885706,Other neighborhoods,Wedgwood,47.69085,-122.30601,Entire home/apt,321,98115
3077,48424644,Central Area,Mann,47.61888,-122.30252,Entire home/apt,289,98122
3078,48900814,Downtown,First Hill,47.61138,-122.32892,Entire home/apt,335,98101
3079,48424987,Beacon Hill,North Beacon Hill,47.58963,-122.31427,Private room,39,98144
3080,48903901,Downtown,Pike-Market,47.60789,-122.33982,Entire home/apt,167,98101
3081,48905751,Ballard,Adams,47.67522,-122.39178,Entire home/apt,300,98107
3082,48433421,Downtown,Belltown,47.614418,-122.341721,Entire home/apt,139,98121
3083,48447536,Other neighborhoods,Roosevelt,47.68619,-122.32183,Private room,54,98115
3084,48917940,Other neighborhoods,Phinney Ridge,47.67457,-122.35171,Entire home/apt,209,98103
3085,48458856,Downtown,Belltown,47.614418,-122.341721,Entire home/apt,174,98121
3086,48468491,Central Area,Minor,47.61508,-122.30558,Entire home/apt,269,98122
3087,48475623,Central Area,Mann,47.61483,-122.29881,Entire home/apt,247,98122
3088,48933171,Other neighborhoods,View Ridge,47.69212,-122.27401,Entire home/apt,129,98115
3089,48936700,Queen Anne,North Queen Anne,47.64314,-122.36351,Entire home/apt,220,98119
3090,48954079,University District,University District,47.67059,-122.3122,Entire home/apt,467,98105
3091,48954080,Other neighborhoods,Greenwood,47.6842,-122.35943,Entire home/apt,363,98117
3092,48954082,University District,University District,47.66902,-122.31008,Entire home/apt,154,98105
3093,48954084,University District,University District,47.66979,-122.31013,Entire home/apt,313,98105
3094,48494600,Beacon Hill,Mid-Beacon Hill,47.56039,-122.29551,Entire home/apt,72,98108
3095,48499024,Ballard,Whittier Heights,47.68401,-122.37661,Entire home/apt,327,98117
3096,48502071,Central Area,Minor,47.60778,-122.30692,Entire home/apt,135,98122
3097,48956729,Beacon Hill,Mid-Beacon Hill,47.5435,-122.28776,Entire home/apt,108,98118
3098,48963695,Other neighborhoods,Wallingford,47.65483,-122.33265,Entire home/apt,250,98103
3099,48504301,Central Area,Minor,47.60765,-122.30669,Entire home/apt,208,98122
3100,48524797,Queen Anne,West Queen Anne,47.63386,-122.36914,Entire home/apt,130,98119
3101,48982170,Other neighborhoods,Bitter Lake,47.71678,-122.35052,Entire home/apt,125,98133
3102,48987540,Downtown,First Hill,47.612137,-122.329803,Entire home/apt,175,98101
3103,48531825,Other neighborhoods,Wallingford,47.65494,-122.32774,Private room,65,98105
3104,49002486,Northgate,Maple Leaf,47.70071,-122.32306,Entire home/apt,110,98115
3105,49010380,Downtown,Belltown,47.61376,-122.3486,Entire home/apt,298,98121
3106,48532108,Central Area,Atlantic,47.59554,-122.30794,Entire home/apt,813,98144
3107,49011550,Beacon Hill,Mid-Beacon Hill,47.549374,-122.30822,Entire home/apt,164,98108
3108,48538969,Downtown,Belltown,47.614418,-122.341721,Entire home/apt,156,98121
3109,48538993,Downtown,Belltown,47.614418,-122.341721,Entire home/apt,139,98121
3110,48539019,Downtown,Belltown,47.61718,-122.331375,Entire home/apt,270,98101
3111,48544003,Queen Anne,East Queen Anne,47.63443,-122.35685,Entire home/apt,215,98109
3112,49027091,Rainier Valley,Columbia City,47.55581,-122.28973,Entire home/apt,245,98118
3113,49030370,Beacon Hill,North Beacon Hill,47.57647,-122.31602,Entire home/apt,225,98144
3114,49032590,Queen Anne,Lower Queen Anne,47.6226,-122.35448,Entire home/apt,110,98109
3115,48553417,West Seattle,Genesee,47.56515,-122.38005,Entire home/apt,125,98126
3116,49042070,West Seattle,Gatewood,47.54321,-122.38301,Entire home/apt,161,98136
3117,48559835,Downtown,Belltown,47.614418,-122.341721,Entire home/apt,192,98121
3118,49060701,Cascade,Eastlake,47.64259,-122.3233,Entire home/apt,119,98102
3119,49079534,Lake City,Victory Heights,47.70856,-122.30912,Entire home/apt,135,98125
3120,49044744,Downtown,Central Business District,47.60514,-122.33776,Entire home/apt,135,98101
3121,49054458,West Seattle,North Admiral,47.58184,-122.40171,Private room,98,98116
3122,49095975,Downtown,Pioneer Square,47.60205,-122.33327,Entire home/apt,247,98104
3123,49056950,Central Area,Leschi,47.60385,-122.29626,Entire home/apt,161,98122
3124,49107811,Downtown,Yesler Terrace,47.60596,-122.32004,Entire home/apt,221,98122
3125,49060079,Capitol Hill,Montlake,47.64044,-122.32273,Entire home/apt,89,98102
3126,49060452,Cascade,Eastlake,47.64189,-122.32496,Entire home/apt,112,98102
3127,49060594,Other neighborhoods,Green Lake,47.68738,-122.33651,Entire home/apt,306,98103
3128,49060640,Cascade,Eastlake,47.64062,-122.32354,Entire home/apt,293,98102
3129,49113608,Queen Anne,East Queen Anne,47.63632,-122.35343,Entire home/apt,499,98109
3130,49518078,University District,University District,47.66775,-122.3087,Entire home/apt,144,98105
3131,49522550,University District,University District,47.6612,-122.31509,Entire home/apt,106,98105
3132,49522680,University District,University District,47.66265,-122.31476,Entire home/apt,99,98105
3133,49113826,Rainier Valley,Rainier View,47.51028,-122.24668,Entire home/apt,286,98178
3134,49127132,Downtown,Yesler Terrace,47.60559,-122.31983,Entire home/apt,172,98122
3135,49144243,West Seattle,Fairmount Park,47.55746,-122.38158,Entire home/apt,137,98116
3136,49527497,Beacon Hill,Mid-Beacon Hill,47.55548,-122.31122,Entire home/apt,479,98108
3137,49531122,Queen Anne,Lower Queen Anne,47.62214,-122.35562,Entire home/apt,172,98109
3138,49531849,Queen Anne,Lower Queen Anne,47.62153,-122.35744,Entire home/apt,183,98109
3139,49154057,West Seattle,North Admiral,47.587013,-122.393311,Entire home/apt,326,98116
3140,49158994,Queen Anne,Lower Queen Anne,47.62373,-122.35456,Entire home/apt,115,98109
3141,49159858,Downtown,Belltown,47.61618,-122.3509,Entire home/apt,116,98121
3142,49534257,Downtown,International District,47.599838,-122.325958,Private room,144,98104
3143,49536097,Downtown,International District,47.599838,-122.325958,Private room,125,98104
3144,49536295,Downtown,International District,47.599838,-122.325958,Private room,137,98104
3145,49536544,Downtown,International District,47.60044,-122.32711,Private room,147,98104
3146,49169308,Other neighborhoods,Fremont,47.65523,-122.35738,Entire home/apt,326,98107
3147,49169316,Downtown,Belltown,47.61718,-122.331375,Entire home/apt,260,98101
3148,49173794,Queen Anne,North Queen Anne,47.64472,-122.36689,Entire home/apt,129,98119
3149,49545660,Rainier Valley,Columbia City,47.54870675,-122.2799701,Entire home/apt,175,98118
3150,49177771,Ballard,Whittier Heights,47.6783,-122.37666,Private room,96,98117
3151,49180387,Beacon Hill,North Beacon Hill,47.58508,-122.31231,Entire home/apt,276,98144
3152,49548869,Other neighborhoods,Fremont,47.660774,-122.359909,Entire home/apt,246,98107
3153,49552731,Central Area,Minor,47.6087,-122.30902,Private room,111,
3154,49196210,Other neighborhoods,Roosevelt,47.67686,-122.31205,Entire home/apt,229,98115
3155,49197303,West Seattle,Fairmount Park,47.5641,-122.37746,Entire home/apt,158,98126
3156,49198120,Capitol Hill,Portage Bay,47.64171,-122.32279,Entire home/apt,372,98102
3157,49567606,University District,University District,47.66971,-122.31531,Entire home/apt,225,98105
3158,49202754,Downtown,Belltown,47.61718,-122.331375,Entire home/apt,270,98101
3159,49202924,University District,University District,47.66275,-122.31289,Entire home/apt,118,98105
3160,49203012,Downtown,Belltown,47.61718,-122.331375,Entire home/apt,256,98101
3161,49206176,Downtown,Yesler Terrace,47.60521,-122.32083,Entire home/apt,164,98104
